     1000	      1208.400000	     true
     1500	      1664.300000	     true
     2000	      2818.900000	     true
     2500	      4340.400000	     true
     3000	      6417.400000	     true
     3500	      8629.200000	     true
     4000	     11229.500000	     true
     4500	     14157.200000	     true
     5000	     17528.100000	     true
     5500	     21038.200000	     true
     6000	     25041.800000	     true
     6500	     29393.900000	     true
     7000	     33959.000000	     true
     7500	     39328.800000	     true
     8000	     44559.900000	     true
     8500	     50027.000000	     true
     9000	     55926.000000	     true
     9500	     62429.900000	     true
    10000	     68730.100000	     true
